epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,79.718,0.44399,0.38685,0.92029,0.95612,0.85942,0.94283,0.83976,0.4901,0.45963,0.90894,0.00066537,0.00066537,0.00066537
2,151.301,0.43253,0.39077,0.89628,0.95666,0.88892,0.94955,0.83835,0.51464,0.40249,0.89742,0.00131885,0.00131885,0.00131885
3,223.646,0.44755,0.40221,0.90069,0.96963,0.88557,0.94954,0.84109,0.49962,0.43138,0.90102,0.00195913,0.00195913,0.00195913
4,299.83,0.44158,0.40028,0.89716,0.96017,0.8976,0.95514,0.84732,0.49412,0.43529,0.8923,0.0019406,0.0019406,0.0019406
5,373.479,0.4428,0.38141,0.89115,0.9623,0.91109,0.96126,0.85622,0.49126,0.36848,0.89162,0.0019208,0.0019208,0.0019208
6,445.324,0.4403,0.37672,0.89624,0.95493,0.89349,0.95506,0.85285,0.49415,0.38538,0.8952,0.001901,0.001901,0.001901
7,516.674,0.42704,0.37126,0.89044,0.94382,0.90881,0.96538,0.86169,0.47795,0.37729,0.88344,0.0018812,0.0018812,0.0018812
8,589.023,0.42366,0.35998,0.88047,0.95517,0.90663,0.96236,0.85281,0.49999,0.42022,0.89987,0.0018614,0.0018614,0.0018614
9,663.999,0.42152,0.34865,0.88645,0.95774,0.91451,0.96781,0.85307,0.5065,0.36836,0.89722,0.0018416,0.0018416,0.0018416
10,734.613,0.42266,0.36484,0.88347,0.93825,0.90633,0.96078,0.8469,0.50736,0.43151,0.91317,0.0018218,0.0018218,0.0018218
11,804.806,0.42434,0.35037,0.88479,0.95701,0.91349,0.96819,0.85799,0.49224,0.36068,0.87951,0.001802,0.001802,0.001802
12,874.691,0.41376,0.3423,0.8788,0.94809,0.80775,0.93342,0.82441,0.48631,0.56443,0.88725,0.0017822,0.0017822,0.0017822
13,944.236,0.4093,0.33471,0.87745,0.92108,0.87796,0.95076,0.84293,0.48757,0.50438,0.88501,0.0017624,0.0017624,0.0017624
14,1015.68,0.41279,0.33027,0.87768,0.95384,0.91565,0.96859,0.86105,0.48751,0.37166,0.88196,0.0017426,0.0017426,0.0017426
15,1086.89,0.41095,0.33115,0.87761,0.95241,0.91679,0.96888,0.86494,0.48194,0.35199,0.88733,0.0017228,0.0017228,0.0017228
16,1159.33,0.40453,0.32891,0.87347,0.92743,0.89856,0.96016,0.85812,0.47414,0.40634,0.87342,0.001703,0.001703,0.001703
17,1230.35,0.39679,0.3248,0.87061,0.95068,0.92553,0.96654,0.86508,0.47143,0.36384,0.88096,0.0016832,0.0016832,0.0016832
18,1301.98,0.40285,0.32757,0.87242,0.96541,0.92363,0.96673,0.86647,0.47275,0.33545,0.8775,0.0016634,0.0016634,0.0016634
19,1375.21,0.39143,0.31879,0.86774,0.93213,0.85486,0.94644,0.84339,0.47696,0.46875,0.89018,0.0016436,0.0016436,0.0016436
20,1447.9,0.39795,0.32588,0.87527,0.92165,0.85942,0.94699,0.84236,0.47395,0.53388,0.88364,0.0016238,0.0016238,0.0016238
21,1521.69,0.3893,0.32058,0.86739,0.93884,0.91831,0.96407,0.86224,0.47798,0.37578,0.87598,0.001604,0.001604,0.001604
22,1593.64,0.39104,0.31922,0.86552,0.92907,0.86512,0.95124,0.84579,0.48169,0.51359,0.88772,0.0015842,0.0015842,0.0015842
23,1664.47,0.38625,0.31569,0.87199,0.93386,0.90668,0.96445,0.85925,0.47315,0.38839,0.88364,0.0015644,0.0015644,0.0015644
24,1737.59,0.39028,0.31644,0.86533,0.9047,0.8548,0.93599,0.82918,0.48347,0.60623,0.88879,0.0015446,0.0015446,0.0015446
25,1810.2,0.39304,0.30939,0.86651,0.89597,0.77549,0.90095,0.79287,0.50197,0.79287,0.90591,0.0015248,0.0015248,0.0015248
26,1884.97,0.38777,0.30671,0.86897,0.89004,0.79346,0.91928,0.80871,0.48798,0.75197,0.89546,0.001505,0.001505,0.001505
27,1956.83,0.38543,0.30315,0.86542,0.92686,0.85068,0.94071,0.83705,0.47685,0.53651,0.87966,0.0014852,0.0014852,0.0014852
28,2029.08,0.38163,0.29472,0.85887,0.90125,0.90236,0.95741,0.85045,0.46954,0.43352,0.8743,0.0014654,0.0014654,0.0014654
29,2100.36,0.38104,0.29622,0.85998,0.92281,0.90502,0.95125,0.84935,0.47723,0.45383,0.88708,0.0014456,0.0014456,0.0014456
30,2172.44,0.3764,0.30066,0.86426,0.88781,0.77014,0.89855,0.78735,0.53282,0.72982,0.92653,0.0014258,0.0014258,0.0014258
31,2242.91,0.37191,0.29898,0.85803,0.9384,0.86246,0.95532,0.85314,0.46663,0.4605,0.87759,0.001406,0.001406,0.001406
32,2317.01,0.37805,0.29786,0.85847,0.94325,0.93009,0.9705,0.86734,0.46655,0.35685,0.8772,0.0013862,0.0013862,0.0013862
33,2391.37,0.37099,0.28437,0.85895,0.90261,0.87325,0.94543,0.84106,0.47458,0.5175,0.88505,0.0013664,0.0013664,0.0013664
34,2463.81,0.37238,0.28462,0.86052,0.91337,0.87576,0.95338,0.84733,0.48121,0.58444,0.88939,0.0013466,0.0013466,0.0013466
35,2536.26,0.3714,0.28269,0.86038,0.89089,0.86474,0.93884,0.83405,0.47114,0.56654,0.89324,0.0013268,0.0013268,0.0013268
36,2608.98,0.3724,0.28482,0.8584,0.92386,0.88146,0.95433,0.85219,0.46188,0.43203,0.87496,0.001307,0.001307,0.001307
37,2681.92,0.36349,0.27576,0.85744,0.93909,0.93133,0.97214,0.86584,0.46577,0.35391,0.88361,0.0012872,0.0012872,0.0012872
38,2754.02,0.36151,0.27166,0.85421,0.91789,0.8921,0.95563,0.84633,0.48536,0.48779,0.88836,0.0012674,0.0012674,0.0012674
39,2825.42,0.37182,0.27903,0.85516,0.95895,0.93182,0.97661,0.87718,0.45738,0.3248,0.86674,0.0012476,0.0012476,0.0012476
