epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.5696,0.56607,0.91312,0.94726,0.90379,0.85336,0.92119,0.79354,0.56722,0.70322,0.92079,0.000662577,0.000662577,0.000662577
2,103.666,0.52321,0.53807,0.9203,0.92016,0.90495,0.94548,0.79029,0.63046,0.60699,0.94342,0.00131608,0.00131608,0.00131608
3,141.453,0.51923,0.51467,0.92238,0.95282,0.84863,0.93921,0.75933,0.71558,0.64719,1.00302,0.00195639,0.00195639,0.00195639
4,178.794,0.49017,0.47317,0.91204,0.82307,0.21565,0.32304,0.23723,1.25836,3.25443,1.45999,0.0019406,0.0019406,0.0019406
5,217.013,0.4639,0.4559,0.90139,0.93668,0.76348,0.8712,0.70636,0.76115,1.09364,1.02911,0.0019208,0.0019208,0.0019208
6,255.142,0.44869,0.41221,0.89785,0.94195,0.9211,0.96114,0.82294,0.57615,0.4874,0.92131,0.001901,0.001901,0.001901
7,295.157,0.44231,0.40905,0.89331,0.94463,0.85536,0.93606,0.79634,0.57854,0.84973,0.92433,0.0018812,0.0018812,0.0018812
8,332.156,0.42113,0.3808,0.88692,0.94377,0.90255,0.94603,0.82863,0.52819,0.56349,0.90655,0.0018614,0.0018614,0.0018614
9,370.243,0.4066,0.36792,0.88289,0.94928,0.88526,0.93571,0.7955,0.56137,0.59843,0.94647,0.0018416,0.0018416,0.0018416
10,408.36,0.41069,0.37394,0.88254,0.96019,0.95849,0.97197,0.84864,0.53473,0.45075,0.91477,0.0018218,0.0018218,0.0018218
11,447.344,0.401,0.35681,0.87486,0.96131,0.94134,0.97884,0.85358,0.53962,0.41823,0.90439,0.001802,0.001802,0.001802
12,485.145,0.38598,0.34606,0.87007,0.94725,0.83349,0.92677,0.79347,0.57815,0.83082,0.93573,0.0017822,0.0017822,0.0017822
13,524.858,0.37965,0.32824,0.86812,0.93908,0.56874,0.75212,0.64066,0.63899,1.89136,0.98496,0.0017624,0.0017624,0.0017624
14,561.507,0.37954,0.33288,0.86979,0.9591,0.95391,0.97582,0.85666,0.51539,0.371,0.89145,0.0017426,0.0017426,0.0017426
15,599.196,0.38328,0.34437,0.87439,0.91569,0.83538,0.90752,0.77836,0.53642,0.93962,0.91663,0.0017228,0.0017228,0.0017228
16,639.58,0.37096,0.32904,0.86933,0.97455,0.90559,0.96373,0.84866,0.50524,0.66622,0.89402,0.001703,0.001703,0.001703
17,677.889,0.37126,0.32167,0.86656,0.95613,0.61857,0.82427,0.68936,0.66141,1.86228,0.97892,0.0016832,0.0016832,0.0016832
18,716.529,0.36255,0.31151,0.86457,0.93092,0.92337,0.96553,0.8533,0.50224,0.49301,0.88522,0.0016634,0.0016634,0.0016634
19,753.939,0.3602,0.3139,0.86162,0.9515,0.94134,0.96477,0.84249,0.52856,0.41709,0.89534,0.0016436,0.0016436,0.0016436
20,791.841,0.35621,0.29953,0.86081,0.96262,0.74078,0.88534,0.76676,0.5603,1.21146,0.92764,0.0016238,0.0016238,0.0016238
21,829.208,0.36252,0.30764,0.86541,0.93942,0.85093,0.93187,0.80495,0.54027,0.79744,0.91836,0.001604,0.001604,0.001604
22,867.676,0.3513,0.29695,0.86024,0.94069,0.93026,0.95975,0.85028,0.48734,0.50038,0.89364,0.0015842,0.0015842,0.0015842
23,905.059,0.34814,0.29031,0.85692,0.96469,0.77956,0.91176,0.79315,0.53038,1.09919,0.91201,0.0015644,0.0015644,0.0015644
24,943.759,0.34615,0.28376,0.85587,0.96604,0.92621,0.96118,0.84949,0.49101,0.5419,0.88734,0.0015446,0.0015446,0.0015446
25,982.383,0.34304,0.29665,0.85457,0.91679,0.82343,0.90971,0.78861,0.53395,0.80913,0.89762,0.0015248,0.0015248,0.0015248
26,1019.62,0.34119,0.28137,0.85687,0.95687,0.7766,0.90612,0.78304,0.54316,1.01367,0.91773,0.001505,0.001505,0.001505
27,1058.91,0.34261,0.27927,0.85417,0.95347,0.63969,0.84651,0.736,0.50874,1.44205,0.89132,0.0014852,0.0014852,0.0014852
28,1097.91,0.33329,0.27972,0.85026,0.97768,0.70441,0.87421,0.7645,0.50916,1.27777,0.91206,0.0014654,0.0014654,0.0014654
29,1134.86,0.33391,0.27045,0.84946,0.91731,0.81362,0.88983,0.79149,0.49265,0.82781,0.87749,0.0014456,0.0014456,0.0014456
30,1170.87,0.32516,0.27383,0.84678,0.9758,0.80103,0.93155,0.82708,0.48799,0.9452,0.87881,0.0014258,0.0014258,0.0014258
31,1208.82,0.32331,0.26863,0.84976,0.9589,0.77248,0.92927,0.79481,0.5387,1.03792,0.92375,0.001406,0.001406,0.001406
32,1246.15,0.3282,0.26508,0.84899,0.95348,0.85147,0.94214,0.81586,0.53019,0.83476,0.91311,0.0013862,0.0013862,0.0013862
33,1287.57,0.33314,0.27214,0.85206,0.96238,0.87125,0.95604,0.83603,0.49512,0.79198,0.8859,0.0013664,0.0013664,0.0013664
34,1326,0.3213,0.25866,0.84291,0.96386,0.78224,0.92263,0.79336,0.53101,1.02454,0.90971,0.0013466,0.0013466,0.0013466
35,1365.25,0.31987,0.25343,0.84547,0.96326,0.86803,0.95067,0.84322,0.47155,0.76257,0.89374,0.0013268,0.0013268,0.0013268
36,1404.66,0.3223,0.26082,0.84815,0.4572,0.79849,0.68759,0.5497,0.77859,2.6772,1.04454,0.001307,0.001307,0.001307
37,1441.24,0.31737,0.2545,0.8405,0.96506,0.94071,0.96539,0.87068,0.46137,0.44375,0.87312,0.0012872,0.0012872,0.0012872
38,1478.72,0.31004,0.24741,0.84091,0.96961,0.7849,0.9416,0.81769,0.49783,1.00678,0.89942,0.0012674,0.0012674,0.0012674
39,1515.68,0.31212,0.24594,0.84452,0.93526,0.76532,0.91821,0.79075,0.52303,0.96673,0.90953,0.0012476,0.0012476,0.0012476
40,1552.36,0.31382,0.24889,0.8446,0.97153,0.83926,0.94517,0.83334,0.4884,0.79184,0.88223,0.0012278,0.0012278,0.0012278
41,1589.4,0.31362,0.24803,0.84346,0.96503,0.79754,0.92204,0.81843,0.47375,0.88106,0.88799,0.001208,0.001208,0.001208
42,1625.16,0.31362,0.25123,0.84488,0.95534,0.9107,0.96103,0.84947,0.46615,0.62516,0.8781,0.0011882,0.0011882,0.0011882
43,1661.77,0.30829,0.24324,0.84127,0.94894,0.87912,0.95112,0.83379,0.47659,0.70386,0.88322,0.0011684,0.0011684,0.0011684
44,1701.42,0.30633,0.23837,0.83922,0.94105,0.57395,0.78269,0.65968,0.56263,1.90302,0.92735,0.0011486,0.0011486,0.0011486
45,1739.5,0.3029,0.2335,0.83822,0.96653,0.73761,0.89637,0.78374,0.5,1.10359,0.89766,0.0011288,0.0011288,0.0011288
46,1775.83,0.3083,0.24388,0.84479,0.96304,0.78894,0.93544,0.83055,0.4611,1.02226,0.87818,0.001109,0.001109,0.001109
47,1811.99,0.30073,0.22984,0.8386,0.81481,0.87039,0.87667,0.77047,0.49276,1.39044,0.90515,0.0010892,0.0010892,0.0010892
48,1848.22,0.30267,0.23465,0.84104,0.95215,0.93188,0.95915,0.85317,0.45941,0.48857,0.86923,0.0010694,0.0010694,0.0010694
49,1885.71,0.29921,0.23441,0.83881,0.97249,0.83621,0.94925,0.84509,0.46312,0.87172,0.88497,0.0010496,0.0010496,0.0010496
50,1927.92,0.29542,0.23615,0.8357,0.9555,0.75156,0.91554,0.81364,0.46851,1.11814,0.8777,0.0010298,0.0010298,0.0010298
51,1965.6,0.29703,0.23371,0.83701,0.98087,0.72748,0.94255,0.82604,0.46993,1.15887,0.89792,0.00101,0.00101,0.00101
52,2002.43,0.28969,0.2242,0.83513,0.9668,0.71639,0.91431,0.81377,0.4643,1.16197,0.87013,0.0009902,0.0009902,0.0009902
53,2043.54,0.29192,0.22569,0.83294,0.70762,0.86093,0.82616,0.71215,0.52639,1.67566,0.9042,0.0009704,0.0009704,0.0009704
54,2081.21,0.29421,0.22779,0.83577,0.9575,0.90918,0.95896,0.85478,0.46767,0.58293,0.87537,0.0009506,0.0009506,0.0009506
55,2117.94,0.29724,0.22374,0.83489,0.96725,0.83831,0.94883,0.83803,0.4847,0.77177,0.89344,0.0009308,0.0009308,0.0009308
56,2155.38,0.29002,0.21873,0.83971,0.73167,0.94418,0.91445,0.78823,0.51742,1.43427,0.92008,0.000911,0.000911,0.000911
57,2191.58,0.28704,0.21765,0.83496,0.73957,0.90539,0.87826,0.75863,0.54066,1.56427,0.93991,0.0008912,0.0008912,0.0008912
58,2229.44,0.28559,0.22293,0.83198,0.95307,0.76853,0.92978,0.80103,0.51322,1.03984,0.91551,0.0008714,0.0008714,0.0008714
59,2265.68,0.28706,0.21699,0.83613,0.95326,0.82963,0.93464,0.82336,0.49497,0.94783,0.90337,0.0008516,0.0008516,0.0008516
60,2301.73,0.28231,0.21525,0.83038,0.96242,0.84791,0.94586,0.83498,0.47925,1.00229,0.89504,0.0008318,0.0008318,0.0008318
61,2341.56,0.28316,0.21211,0.83365,0.96481,0.83005,0.94582,0.83482,0.48113,0.7904,0.89021,0.000812,0.000812,0.000812
62,2380.69,0.27715,0.20825,0.83442,0.9633,0.84425,0.95448,0.84414,0.46329,0.73742,0.88659,0.0007922,0.0007922,0.0007922
63,2417.82,0.27798,0.20768,0.82888,0.74926,0.96405,0.94403,0.8337,0.47536,1.24956,0.89143,0.0007724,0.0007724,0.0007724
64,2453.63,0.27741,0.20769,0.83192,0.96221,0.81173,0.92389,0.81531,0.48627,1.04434,0.90265,0.0007526,0.0007526,0.0007526
65,2490.08,0.27539,0.20412,0.83079,0.84928,0.89026,0.87223,0.75604,0.50733,1.44049,0.91894,0.0007328,0.0007328,0.0007328
66,2527.09,0.27713,0.20477,0.82799,0.82702,0.90918,0.88301,0.7644,0.53862,1.29357,0.92607,0.000713,0.000713,0.000713
67,2562.98,0.27471,0.20334,0.83053,0.97473,0.83916,0.95353,0.85216,0.45582,0.73239,0.87782,0.0006932,0.0006932,0.0006932
